Exercise Level,Sleep Hours,Stress Level,Work Hours per Week,Screen Time per Day (Hours),Social Interaction Score,Happiness Score,Diet Type_Balanced,Diet Type_Junk Food,Diet Type_Keto,Diet Type_Vegan,Diet Type_Vegetarian
2.0,8.9,2.0,49,7.2,5.8,3.8,0.0,1.0,0.0,0.0,0.0
1.0,3.8,1.0,51,2.3,2.5,7.3,0.0,1.0,0.0,0.0,0.0
0.0,4.6,0.0,55,6.7,4.9,6.9,0.0,0.0,0.0,1.0,0.0
0.0,8.5,0.0,56,5.7,4.7,1.8,0.0,0.0,1.0,0.0,0.0
1.0,3.9,0.0,37,3.9,7.5,6.2,0.0,0.0,1.0,0.0,0.0
0.0,5.5,2.0,20,6.3,2.7,2.3,0.0,1.0,0.0,0.0,0.0
1.0,9.6,0.0,40,6.7,8.4,3.3,1.0,0.0,0.0,0.0,0.0
1.0,5.1,1.0,47,7.6,3.9,5.1,0.0,0.0,0.0,1.0,0.0
1.0,3.8,2.0,35,4.2,5.0,2.0,1.0,0.0,0.0,0.0,0.0
2.0,6.6,2.0,47,6.1,8.0,9.9,0.0,0.0,0.0,0.0,1.0
1.0,3.8,0.0,41,5.6,6.6,2.5,0.0,0.0,1.0,0.0,0.0
0.0,8.4,2.0,38,5.2,3.8,8.0,0.0,0.0,1.0,0.0,0.0
2.0,5.2,2.0,20,7.3,4.5,8.5,1.0,0.0,0.0,0.0,0.0
0.0,4.9,0.0,50,2.0,3.8,10.0,0.0,0.0,0.0,1.0,0.0
2.0,6.5,1.0,53,3.7,6.4,4.9,0.0,0.0,1.0,0.0,0.0
2.0,5.9,1.0,59,5.2,4.0,8.9,1.0,0.0,0.0,0.0,0.0
2.0,6.9,0.0,25,3.1,7.5,9.6,0.0,0.0,0.0,1.0,0.0
2.0,7.3,1.0,47,7.4,6.2,2.6,1.0,0.0,0.0,0.0,0.0
0.0,6.2,1.0,22,5.9,2.3,5.3,0.0,0.0,0.0,1.0,0.0
1.0,4.8,1.0,50,4.9,3.8,1.5,0.0,1.0,0.0,0.0,0.0
0.0,7.6,2.0,35,6.9,3.0,6.6,0.0,0.0,0.0,1.0,0.0
1.0,5.5,2.0,36,4.7,4.5,6.2,0.0,0.0,0.0,0.0,1.0
0.0,5.2,2.0,46,5.4,5.6,2.8,0.0,1.0,0.0,0.0,0.0
2.0,6.7,1.0,43,2.0,5.6,8.2,1.0,0.0,0.0,0.0,0.0
2.0,3.6,2.0,39,4.2,7.8,1.3,0.0,1.0,0.0,0.0,0.0
1.0,7.1,1.0,51,2.8,2.7,8.3,0.0,1.0,0.0,0.0,0.0
1.0,6.8,0.0,54,6.1,9.5,1.2,1.0,0.0,0.0,0.0,0.0
0.0,8.2,1.0,32,4.9,4.1,6.9,1.0,0.0,0.0,0.0,0.0
1.0,5.7,2.0,39,3.8,3.7,1.7,0.0,0.0,0.0,0.0,1.0
0.0,8.5,1.0,21,4.8,7.2,3.3,1.0,0.0,0.0,0.0,0.0
1.0,7.3,2.0,23,3.3,8.2,7.5,0.0,0.0,1.0,0.0,0.0
1.0,6.5,2.0,46,7.6,4.4,3.5,0.0,0.0,1.0,0.0,0.0
1.0,9.2,0.0,44,2.3,7.7,5.6,0.0,0.0,0.0,0.0,1.0
2.0,6.6,0.0,23,7.2,9.0,9.2,0.0,0.0,0.0,1.0,0.0
2.0,5.7,2.0,51,5.1,7.9,1.4,0.0,0.0,0.0,1.0,0.0
0.0,6.7,1.0,36,5.7,1.3,8.3,0.0,0.0,1.0,0.0,0.0
1.0,5.7,0.0,20,3.8,8.4,1.6,1.0,0.0,0.0,0.0,0.0
0.0,7.1,0.0,52,7.8,8.0,2.1,0.0,0.0,0.0,0.0,1.0
1.0,8.5,2.0,49,3.7,7.0,2.1,0.0,0.0,0.0,1.0,0.0
2.0,6.5,1.0,24,5.5,7.8,9.9,0.0,0.0,0.0,1.0,0.0
2.0,6.6,0.0,31,8.0,9.8,2.6,0.0,1.0,0.0,0.0,0.0
1.0,7.7,0.0,57,7.3,4.9,9.1,0.0,0.0,1.0,0.0,0.0
1.0,8.3,1.0,51,5.2,1.6,9.9,1.0,0.0,0.0,0.0,0.0
2.0,5.8,0.0,57,7.9,5.1,4.5,0.0,0.0,0.0,0.0,1.0
2.0,6.8,1.0,36,6.2,1.4,6.7,0.0,0.0,0.0,1.0,0.0
0.0,7.7,2.0,59,3.3,3.6,8.0,0.0,1.0,0.0,0.0,0.0
2.0,7.0,0.0,51,4.4,6.3,4.5,0.0,0.0,1.0,0.0,0.0
1.0,3.7,2.0,43,4.0,3.8,2.5,0.0,0.0,1.0,0.0,0.0
0.0,8.0,1.0,31,4.1,7.2,4.9,0.0,0.0,0.0,0.0,1.0
1.0,7.3,2.0,50,6.6,8.4,7.9,0.0,0.0,0.0,1.0,0.0
0.0,7.4,2.0,38,5.5,4.8,8.0,0.0,0.0,0.0,0.0,1.0
1.0,4.7,2.0,48,2.2,9.1,3.1,0.0,0.0,0.0,0.0,1.0
2.0,6.7,1.0,40,7.3,1.7,2.6,0.0,1.0,0.0,0.0,0.0
1.0,7.8,1.0,45,3.8,8.6,9.3,0.0,0.0,1.0,0.0,0.0
0.0,5.2,1.0,47,8.0,8.5,1.4,1.0,0.0,0.0,0.0,0.0
1.0,5.6,1.0,36,7.7,3.9,7.6,0.0,0.0,1.0,0.0,0.0
0.0,7.8,1.0,28,7.6,3.7,1.4,0.0,0.0,1.0,0.0,0.0
1.0,5.5,0.0,40,6.9,3.7,8.5,0.0,1.0,0.0,0.0,0.0
2.0,6.2,0.0,53,3.3,8.3,9.1,1.0,0.0,0.0,0.0,0.0
2.0,4.9,0.0,30,5.2,8.5,3.7,0.0,0.0,0.0,1.0,0.0
1.0,9.2,2.0,39,3.3,4.0,1.7,1.0,0.0,0.0,0.0,0.0
1.0,7.3,2.0,58,3.6,6.3,5.3,0.0,0.0,0.0,1.0,0.0
1.0,6.1,1.0,35,5.7,2.3,3.7,1.0,0.0,0.0,0.0,0.0
0.0,5.8,1.0,48,2.2,5.2,4.8,0.0,0.0,0.0,0.0,1.0
1.0,4.7,0.0,20,7.8,10.0,7.0,1.0,0.0,0.0,0.0,0.0
1.0,6.3,1.0,37,7.5,2.4,2.9,0.0,1.0,0.0,0.0,0.0
0.0,7.5,2.0,41,4.3,9.5,4.2,0.0,0.0,0.0,1.0,0.0
2.0,5.3,1.0,27,5.1,8.4,8.0,0.0,0.0,1.0,0.0,0.0
1.0,6.7,0.0,26,4.8,9.7,6.8,0.0,1.0,0.0,0.0,0.0
1.0,5.9,1.0,44,7.3,2.6,3.9,0.0,0.0,0.0,1.0,0.0
2.0,8.6,2.0,49,6.1,2.9,7.0,0.0,0.0,0.0,1.0,0.0
2.0,5.5,0.0,53,3.7,1.2,7.9,0.0,0.0,1.0,0.0,0.0
0.0,7.7,1.0,30,4.7,7.5,6.3,0.0,0.0,0.0,0.0,1.0
1.0,8.6,2.0,34,4.6,6.8,3.2,0.0,1.0,0.0,0.0,0.0
1.0,5.9,0.0,54,7.8,2.6,1.0,0.0,0.0,1.0,0.0,0.0
0.0,5.6,0.0,42,3.1,8.1,8.2,0.0,0.0,1.0,0.0,0.0
2.0,7.9,2.0,40,2.5,3.7,8.4,0.0,0.0,0.0,0.0,1.0
0.0,3.8,1.0,47,7.3,2.2,7.3,0.0,1.0,0.0,0.0,0.0
2.0,7.1,1.0,32,7.4,4.8,1.7,0.0,0.0,1.0,0.0,0.0
0.0,4.1,1.0,53,7.2,1.8,6.3,0.0,0.0,0.0,0.0,1.0
2.0,8.3,0.0,57,5.1,3.4,8.4,0.0,1.0,0.0,0.0,0.0
0.0,6.1,0.0,25,6.0,4.3,4.5,1.0,0.0,0.0,0.0,0.0
2.0,6.4,1.0,23,5.4,8.7,2.8,0.0,0.0,0.0,1.0,0.0
2.0,5.4,0.0,24,2.4,8.1,6.3,0.0,0.0,0.0,0.0,1.0
2.0,4.1,0.0,59,5.6,5.0,8.4,0.0,0.0,0.0,1.0,0.0
2.0,8.4,2.0,25,2.1,7.5,1.4,1.0,0.0,0.0,0.0,0.0
2.0,6.2,1.0,40,3.9,6.1,6.4,0.0,0.0,1.0,0.0,0.0
1.0,11.3,1.0,47,7.6,4.1,6.8,0.0,0.0,1.0,0.0,0.0
2.0,5.3,1.0,22,3.8,7.5,6.4,0.0,1.0,0.0,0.0,0.0
1.0,5.5,0.0,42,7.6,7.2,6.9,0.0,0.0,0.0,0.0,1.0
2.0,5.2,0.0,27,3.5,6.6,6.7,0.0,0.0,0.0,0.0,1.0
1.0,6.2,0.0,38,3.9,6.6,2.2,0.0,1.0,0.0,0.0,0.0
1.0,8.9,1.0,30,5.8,7.1,3.1,0.0,0.0,0.0,1.0,0.0
0.0,8.0,0.0,29,6.6,4.5,6.6,0.0,0.0,1.0,0.0,0.0
2.0,4.2,1.0,47,5.0,8.8,1.2,0.0,0.0,1.0,0.0,0.0
0.0,8.3,0.0,39,7.3,2.5,6.7,0.0,0.0,0.0,0.0,1.0
0.0,7.5,1.0,47,2.2,9.0,7.0,0.0,0.0,0.0,0.0,1.0
2.0,7.2,2.0,48,7.5,4.1,3.2,0.0,1.0,0.0,0.0,0.0
0.0,5.5,0.0,27,3.2,2.1,6.4,1.0,0.0,0.0,0.0,0.0
2.0,5.6,1.0,38,7.3,6.4,5.8,0.0,0.0,0.0,1.0,0.0
0.0,6.7,2.0,40,4.4,4.4,3.3,1.0,0.0,0.0,0.0,0.0
2.0,5.7,2.0,37,7.0,8.3,5.2,1.0,0.0,0.0,0.0,0.0
2.0,8.5,0.0,28,6.0,4.9,9.2,0.0,0.0,0.0,0.0,1.0
2.0,5.6,1.0,23,3.1,7.0,4.8,0.0,0.0,0.0,0.0,1.0
1.0,3.6,0.0,44,7.5,3.8,6.7,0.0,0.0,0.0,0.0,1.0
0.0,4.5,2.0,53,3.5,2.9,1.3,1.0,0.0,0.0,0.0,0.0
1.0,4.6,0.0,28,3.5,4.5,1.7,0.0,0.0,0.0,1.0,0.0
0.0,6.1,1.0,28,6.9,6.5,1.7,0.0,0.0,0.0,0.0,1.0
0.0,6.8,2.0,37,2.6,6.9,8.0,0.0,0.0,1.0,0.0,0.0
0.0,6.6,0.0,30,3.3,6.2,4.2,0.0,0.0,0.0,1.0,0.0
1.0,7.2,0.0,32,5.0,9.9,3.0,0.0,0.0,1.0,0.0,0.0
0.0,6.1,0.0,57,7.0,7.2,7.7,0.0,0.0,0.0,1.0,0.0
1.0,6.2,0.0,28,2.9,9.4,2.5,0.0,0.0,0.0,0.0,1.0
2.0,9.1,0.0,35,5.3,2.1,3.2,0.0,1.0,0.0,0.0,0.0
0.0,8.3,2.0,23,6.3,1.6,4.9,0.0,0.0,0.0,0.0,1.0
0.0,7.1,2.0,53,7.2,3.8,4.0,1.0,0.0,0.0,0.0,0.0
2.0,7.9,1.0,26,7.6,2.2,6.3,1.0,0.0,0.0,0.0,0.0
2.0,3.6,0.0,34,6.7,5.7,4.0,0.0,0.0,0.0,1.0,0.0
0.0,5.3,1.0,57,5.9,5.7,4.5,1.0,0.0,0.0,0.0,0.0
2.0,5.9,2.0,30,4.6,6.2,8.8,0.0,0.0,0.0,0.0,1.0
1.0,5.3,0.0,51,2.7,7.7,9.0,0.0,0.0,1.0,0.0,0.0
1.0,4.2,1.0,46,6.3,9.7,8.4,0.0,0.0,0.0,0.0,1.0
0.0,7.1,0.0,49,8.0,8.9,8.8,0.0,0.0,0.0,1.0,0.0
1.0,8.6,0.0,36,6.4,2.1,6.1,1.0,0.0,0.0,0.0,0.0
1.0,6.5,1.0,55,2.1,4.0,6.8,0.0,0.0,1.0,0.0,0.0
0.0,7.5,2.0,38,5.0,3.3,6.0,0.0,1.0,0.0,0.0,0.0
2.0,6.4,1.0,26,5.7,2.6,8.1,0.0,0.0,1.0,0.0,0.0
0.0,5.8,1.0,40,6.1,5.9,6.0,0.0,0.0,1.0,0.0,0.0
1.0,7.9,1.0,47,6.3,6.0,2.0,0.0,0.0,0.0,0.0,1.0
0.0,4.4,0.0,22,5.3,3.0,8.3,0.0,1.0,0.0,0.0,0.0
0.0,3.7,2.0,33,3.3,7.4,7.8,0.0,0.0,0.0,1.0,0.0
1.0,4.3,2.0,21,7.7,7.6,8.4,0.0,0.0,0.0,1.0,0.0
1.0,7.8,0.0,48,6.2,1.2,2.7,0.0,0.0,1.0,0.0,0.0
0.0,6.6,2.0,37,3.4,4.6,3.4,0.0,0.0,1.0,0.0,0.0
1.0,7.1,1.0,56,3.9,9.0,3.7,1.0,0.0,0.0,0.0,0.0
1.0,9.0,2.0,43,7.5,5.7,5.6,0.0,1.0,0.0,0.0,0.0
1.0,4.8,0.0,31,7.3,4.1,2.2,0.0,0.0,1.0,0.0,0.0
1.0,8.3,2.0,51,4.4,3.3,4.5,1.0,0.0,0.0,0.0,0.0
1.0,5.9,0.0,37,2.2,3.2,2.6,0.0,1.0,0.0,0.0,0.0
1.0,5.7,1.0,32,2.3,1.9,3.4,0.0,0.0,0.0,1.0,0.0
2.0,6.6,0.0,23,3.7,8.4,7.4,1.0,0.0,0.0,0.0,0.0
0.0,6.9,2.0,42,5.8,1.8,8.7,0.0,1.0,0.0,0.0,0.0
1.0,6.2,1.0,29,5.5,3.6,1.2,1.0,0.0,0.0,0.0,0.0
0.0,7.4,2.0,24,5.8,1.4,6.1,0.0,0.0,1.0,0.0,0.0
2.0,6.6,0.0,59,6.3,8.0,1.3,0.0,0.0,0.0,0.0,1.0
1.0,6.2,1.0,33,2.1,1.4,1.8,0.0,0.0,0.0,1.0,0.0
0.0,5.9,0.0,53,2.6,3.8,7.3,0.0,0.0,1.0,0.0,0.0
1.0,6.9,2.0,47,4.2,6.2,7.6,0.0,0.0,1.0,0.0,0.0
1.0,4.5,0.0,27,2.9,4.7,8.3,0.0,1.0,0.0,0.0,0.0
1.0,4.9,2.0,35,2.5,3.5,5.3,1.0,0.0,0.0,0.0,0.0
1.0,5.9,2.0,50,5.8,3.5,8.7,0.0,0.0,0.0,1.0,0.0
1.0,7.3,1.0,26,6.9,8.2,2.5,0.0,0.0,1.0,0.0,0.0
1.0,9.7,1.0,22,6.5,9.8,3.2,0.0,1.0,0.0,0.0,0.0
1.0,6.3,0.0,48,6.9,4.1,2.2,0.0,0.0,0.0,1.0,0.0
2.0,3.8,2.0,55,6.0,1.4,8.2,1.0,0.0,0.0,0.0,0.0
2.0,5.3,2.0,58,6.4,1.3,3.1,0.0,0.0,1.0,0.0,0.0
1.0,7.5,1.0,23,3.6,7.8,2.4,0.0,0.0,1.0,0.0,0.0
1.0,5.0,1.0,28,8.0,6.0,6.6,0.0,0.0,1.0,0.0,0.0
2.0,4.5,1.0,36,3.1,8.1,1.7,0.0,0.0,0.0,1.0,0.0
2.0,7.5,1.0,39,3.3,7.3,1.4,0.0,0.0,0.0,1.0,0.0
2.0,7.2,0.0,33,3.7,9.2,2.0,0.0,0.0,0.0,1.0,0.0
1.0,4.3,0.0,48,7.9,9.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,5.2,0.0,32,7.9,8.1,7.3,0.0,1.0,0.0,0.0,0.0
0.0,8.4,0.0,55,6.8,5.3,6.1,0.0,0.0,0.0,0.0,1.0
0.0,7.8,1.0,36,5.8,3.8,2.9,0.0,1.0,0.0,0.0,0.0
0.0,4.7,0.0,23,5.1,5.6,3.1,0.0,0.0,1.0,0.0,0.0
1.0,3.5,0.0,39,7.8,5.5,8.3,0.0,1.0,0.0,0.0,0.0
0.0,6.9,0.0,30,6.2,6.5,5.5,1.0,0.0,0.0,0.0,0.0
2.0,6.1,1.0,41,7.7,2.7,7.3,0.0,0.0,0.0,1.0,0.0
2.0,6.8,2.0,27,3.9,6.9,5.1,1.0,0.0,0.0,0.0,0.0
0.0,7.5,1.0,47,4.0,5.1,3.1,1.0,0.0,0.0,0.0,0.0
2.0,5.1,2.0,49,7.1,6.6,9.7,0.0,0.0,1.0,0.0,0.0
1.0,5.9,2.0,52,2.9,3.2,6.1,0.0,0.0,0.0,1.0,0.0
0.0,5.2,0.0,52,7.7,4.9,2.2,1.0,0.0,0.0,0.0,0.0
0.0,5.2,0.0,55,5.0,2.9,4.7,0.0,0.0,1.0,0.0,0.0
1.0,7.3,0.0,46,7.6,8.9,4.0,0.0,0.0,0.0,1.0,0.0
2.0,6.7,1.0,39,4.0,5.4,2.9,0.0,0.0,0.0,0.0,1.0
1.0,4.2,1.0,52,6.3,3.0,9.4,0.0,0.0,1.0,0.0,0.0
1.0,7.6,0.0,44,4.9,1.4,8.9,0.0,1.0,0.0,0.0,0.0
2.0,6.0,1.0,38,5.8,7.1,2.8,0.0,0.0,0.0,1.0,0.0
1.0,7.7,1.0,40,5.0,2.9,4.2,1.0,0.0,0.0,0.0,0.0
2.0,5.0,2.0,52,7.8,9.9,7.9,1.0,0.0,0.0,0.0,0.0
2.0,5.1,1.0,22,6.2,5.8,2.9,0.0,1.0,0.0,0.0,0.0
1.0,6.9,2.0,33,3.5,3.6,6.3,0.0,1.0,0.0,0.0,0.0
2.0,4.9,0.0,34,7.5,6.9,7.3,1.0,0.0,0.0,0.0,0.0
1.0,6.1,1.0,52,3.8,3.5,6.9,0.0,0.0,0.0,1.0,0.0
2.0,4.7,2.0,41,4.2,8.4,7.4,0.0,0.0,1.0,0.0,0.0
0.0,5.9,1.0,20,2.6,3.8,7.4,0.0,1.0,0.0,0.0,0.0
2.0,6.5,2.0,50,7.4,9.9,9.7,0.0,1.0,0.0,0.0,0.0
2.0,6.5,2.0,54,3.7,6.4,4.1,0.0,1.0,0.0,0.0,0.0
1.0,6.0,1.0,39,3.6,8.6,8.9,0.0,0.0,0.0,0.0,1.0
2.0,7.0,0.0,51,7.5,1.7,1.2,0.0,0.0,0.0,1.0,0.0
0.0,6.7,2.0,31,6.8,4.1,3.6,0.0,0.0,0.0,1.0,0.0
0.0,6.4,0.0,35,2.8,7.6,1.4,0.0,0.0,0.0,1.0,0.0
2.0,5.6,1.0,27,6.6,6.9,6.9,0.0,0.0,0.0,1.0,0.0
2.0,8.1,1.0,33,7.5,2.7,1.9,0.0,0.0,0.0,1.0,0.0
0.0,7.1,0.0,37,2.5,4.2,8.6,1.0,0.0,0.0,0.0,0.0
1.0,4.9,1.0,49,7.0,3.4,6.8,0.0,1.0,0.0,0.0,0.0
0.0,7.5,2.0,52,5.3,6.5,1.3,1.0,0.0,0.0,0.0,0.0
0.0,7.8,0.0,53,6.0,4.1,7.4,0.0,0.0,0.0,0.0,1.0
2.0,6.4,1.0,53,5.0,3.8,8.8,0.0,0.0,1.0,0.0,0.0
2.0,6.5,1.0,26,6.2,2.9,7.0,0.0,1.0,0.0,0.0,0.0
0.0,3.4,0.0,25,2.2,4.7,1.3,0.0,0.0,0.0,0.0,1.0
1.0,5.2,2.0,25,6.6,2.8,8.7,1.0,0.0,0.0,0.0,0.0
0.0,7.8,0.0,41,2.2,9.7,7.6,0.0,0.0,1.0,0.0,0.0
0.0,5.3,1.0,27,4.7,2.4,4.4,0.0,0.0,0.0,0.0,1.0
1.0,6.3,1.0,56,2.9,9.2,4.0,0.0,0.0,1.0,0.0,0.0
0.0,5.2,0.0,34,6.9,4.9,5.3,0.0,0.0,0.0,0.0,1.0
0.0,6.8,2.0,45,3.9,4.4,8.8,1.0,0.0,0.0,0.0,0.0
2.0,7.1,2.0,58,4.7,3.1,3.3,0.0,0.0,1.0,0.0,0.0
1.0,7.1,2.0,22,4.6,6.7,1.9,0.0,0.0,0.0,0.0,1.0
2.0,4.8,0.0,29,6.6,7.2,8.8,1.0,0.0,0.0,0.0,0.0
2.0,6.7,2.0,22,4.9,5.2,1.2,0.0,1.0,0.0,0.0,0.0
1.0,8.9,2.0,49,6.7,1.5,9.2,1.0,0.0,0.0,0.0,0.0
1.0,7.6,2.0,41,2.4,9.3,3.8,1.0,0.0,0.0,0.0,0.0
0.0,6.6,2.0,22,3.1,9.8,5.6,0.0,1.0,0.0,0.0,0.0
2.0,3.6,1.0,20,5.3,4.9,2.2,1.0,0.0,0.0,0.0,0.0
1.0,6.1,0.0,52,7.7,6.5,9.1,0.0,1.0,0.0,0.0,0.0
2.0,9.0,0.0,38,2.4,5.1,7.7,0.0,1.0,0.0,0.0,0.0
2.0,8.5,2.0,55,2.3,3.9,9.3,0.0,1.0,0.0,0.0,0.0
1.0,7.2,0.0,53,2.9,1.7,7.1,0.0,0.0,0.0,0.0,1.0
0.0,5.4,0.0,50,5.8,5.1,2.7,0.0,0.0,1.0,0.0,0.0
2.0,6.6,1.0,43,4.4,8.4,3.8,0.0,0.0,0.0,0.0,1.0
1.0,7.7,0.0,31,7.0,1.2,5.4,0.0,1.0,0.0,0.0,0.0
0.0,7.9,1.0,32,2.4,6.2,6.5,0.0,0.0,1.0,0.0,0.0
2.0,7.0,0.0,35,3.2,8.9,9.3,0.0,0.0,1.0,0.0,0.0
1.0,7.8,1.0,35,3.8,3.0,4.5,0.0,1.0,0.0,0.0,0.0
2.0,6.4,1.0,39,5.8,2.6,7.3,0.0,0.0,1.0,0.0,0.0
1.0,6.3,0.0,46,6.1,8.0,9.6,0.0,0.0,1.0,0.0,0.0
1.0,5.8,1.0,58,2.7,3.3,2.4,0.0,0.0,0.0,0.0,1.0
2.0,7.1,1.0,32,7.7,2.7,8.8,0.0,0.0,1.0,0.0,0.0
2.0,8.0,0.0,23,4.0,4.4,4.8,0.0,1.0,0.0,0.0,0.0
1.0,7.6,1.0,51,6.3,4.5,7.6,0.0,0.0,0.0,1.0,0.0
0.0,4.7,1.0,59,5.1,8.9,3.6,0.0,0.0,0.0,1.0,0.0
2.0,4.8,1.0,53,3.3,6.6,4.0,0.0,0.0,0.0,1.0,0.0
1.0,8.2,1.0,58,7.1,4.7,1.2,0.0,1.0,0.0,0.0,0.0
1.0,6.8,1.0,36,6.9,5.8,9.7,0.0,0.0,0.0,1.0,0.0
0.0,6.8,2.0,43,4.4,9.6,8.3,0.0,0.0,0.0,0.0,1.0
0.0,6.8,1.0,48,5.5,2.0,1.8,0.0,1.0,0.0,0.0,0.0
0.0,9.1,1.0,47,3.5,2.9,10.0,0.0,1.0,0.0,0.0,0.0
2.0,5.8,1.0,41,6.1,9.7,6.4,0.0,1.0,0.0,0.0,0.0
1.0,8.2,1.0,47,3.9,9.6,8.7,0.0,0.0,1.0,0.0,0.0
1.0,6.9,0.0,44,7.1,2.6,1.6,0.0,0.0,1.0,0.0,0.0
1.0,4.1,2.0,22,3.3,2.3,4.5,0.0,0.0,1.0,0.0,0.0
